population_group,measure,location,sex,age,metric,year,val,upper,lower
All Population,Life table,Democratic People's Republic of Korea,Male,70-74 years,Probability of death,2023,0.21510592526703806,0.2732056519967488,0.1671511287093238
All Population,Life table,Democratic People's Republic of Korea,Female,70-74 years,Probability of death,2023,0.16591033146208053,0.21305068265310353,0.12449303935008764
All Population,Life table,Democratic People's Republic of Korea,Male,75-79 years,Probability of death,2023,0.32111796348139526,0.39474643905960843,0.25498328442784157
All Population,Life table,Democratic People's Republic of Korea,Female,75-79 years,Probability of death,2023,0.2590024069296358,0.3235454702393561,0.20020831453645344
All Population,Life table,Democratic Republic of the Congo,Male,65-69 years,Probability of death,2023,0.20297956915186124,0.24933196607868763,0.15977517544980901
All Population,Life table,Democratic Republic of the Congo,Female,65-69 years,Probability of death,2023,0.13653954088100076,0.16988731136538937,0.10984689059113636
All Population,Life table,Democratic Republic of the Congo,Male,70-74 years,Probability of death,2023,0.2683899367748657,0.327476315654048,0.21663481545397206
All Population,Life table,Democratic Republic of the Congo,Female,70-74 years,Probability of death,2023,0.20566650800307087,0.25259403371752964,0.16714590192508277
All Population,Life table,Democratic Republic of the Congo,Male,75-79 years,Probability of death,2023,0.36919410069381825,0.44554358214238365,0.3052189039534746
All Population,Life table,Democratic Republic of the Congo,Female,75-79 years,Probability of death,2023,0.30682017684935475,0.37177509069687387,0.24923433616825164
All Population,Life table,Democratic Republic of the Congo,Male,80-84 years,Probability of death,2023,0.47033369777563194,0.5474223667883588,0.39416605970855334
All Population,Life table,Democratic Republic of the Congo,Female,80-84 years,Probability of death,2023,0.39923548655681446,0.47556625250563794,0.3233371461037885
All Population,Life table,Democratic Republic of the Congo,Male,85-89 years,Probability of death,2023,0.5934671895876352,0.6833448807058168,0.5102873337479615
All Population,Life table,Democratic Republic of the Congo,Female,85-89 years,Probability of death,2023,0.5558274833716107,0.6435764777771265,0.47238591312211925
All Population,Life table,Democratic Republic of the Congo,Male,90-94 years,Probability of death,2023,0.7171578539215148,0.8056059645971502,0.627080535208878
All Population,Life table,Democratic Republic of the Congo,Female,90-94 years,Probability of death,2023,0.6753094642723223,0.7636477140251011,0.5861232203780516
All Population,Life table,Democratic Republic of the Congo,Male,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Democratic Republic of the Congo,Female,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Equatorial Guinea,Male,10-14 years,Probability of death,2023,0.005744832017600695,0.0072531104621625314,0.004253684401421739
All Population,Life table,Equatorial Guinea,Female,10-14 years,Probability of death,2023,0.0043844794302998905,0.005632506319504765,0.003332917121454709
All Population,Life table,Equatorial Guinea,Male,15-19 years,Probability of death,2023,0.011481633761894896,0.014661884705360822,0.008930106212691724
All Population,Life table,Equatorial Guinea,Female,15-19 years,Probability of death,2023,0.009210973595347312,0.011755399414090342,0.007057491698505558
All Population,Life table,Equatorial Guinea,Male,20-24 years,Probability of death,2023,0.01755007568425298,0.022277844974886354,0.0138073524300982
All Population,Life table,Equatorial Guinea,Female,20-24 years,Probability of death,2023,0.014928924470018343,0.018909527230797547,0.011416931811679354
All Population,Life table,Equatorial Guinea,Male,25-29 years,Probability of death,2023,0.023944816558209153,0.030686211946932152,0.018640275097232793
All Population,Life table,Equatorial Guinea,Female,25-29 years,Probability of death,2023,0.024340087935033467,0.03100174467307111,0.01907903873994132
All Population,Life table,Equatorial Guinea,Male,30-34 years,Probability of death,2023,0.03817300176567688,0.048110065131120094,0.029330351106330383
All Population,Life table,Equatorial Guinea,Female,30-34 years,Probability of death,2023,0.03921115339525263,0.048856293950195445,0.030661694123367313
